MASIE NSIDC/NIC Sea Ice Product G02186 - Daily Ice Extent by Region in Square Kilometers
yyyyddd, (0) Northern_Hemisphere, (1) Beaufort_Sea, (2) Chukchi_Sea, (3) East_Siberian_Sea, (4) Laptev_Sea, (5) Kara_Sea, (6) Barents_Sea, (7) Greenland_Sea, (8) Baffin_Bay_Gulf_of_St._Lawrence, (9) Canadian_Archipelago, (10) Hudson_Bay, (11) Central_Arctic, (12) Bering_Sea, (13) Baltic_Sea, (14) Sea_of_Okhotsk, (15) Yellow_Sea, (16) Cook_Inlet
 2021311, 9295447.47,  990387.15,  747838.06, 1089525.77,  894763.42,  643101.66,  113940.49,  435210.77,  302669.91,  729070.85,   63568.64, 3193648.02,   79373.89,       0.00,   10511.93,       0.00,       0.00
 2021312, 9300225.08,  998485.05,  761019.14, 1089525.77,  894763.42,  632563.99,  124818.22,  418747.76,  289001.45,  737628.21,   66947.28, 3195566.07,   78809.88,       0.00,   10511.93,       0.00,       0.00
 2021313, 9361298.60, 1015739.92,  761350.58, 1089525.77,  894763.42,  642686.82,  143454.45,  405108.96,  305325.88,  750288.59,   67983.85, 3195053.66,   80880.41,       0.00,    7299.37,       0.00,       0.00
 2021314, 9474812.50, 1025023.71,  789294.26, 1089525.77,  894763.42,  660319.10,  152630.59,  396894.65,  327399.76,  776982.37,   69832.07, 3201886.23,   81159.41,       0.00,    7299.37,       0.00,       0.00
 2021315, 9658790.18, 1034029.38,  819559.08, 1089525.77,  894763.42,  643849.01,  177035.97,  409478.29,  393926.24,  795260.75,   78608.05, 3207330.16,  104652.72,       0.00,    8934.44,       0.00,       0.00
 2021316, 9797948.27, 1041889.45,  842044.86, 1089525.77,  894763.42,  640761.58,  196768.59,  426892.29,  406179.11,  800512.34,  104752.57, 3212889.59,  120580.37,    1525.01,   16964.78,       0.00,       0.00
 2021317, 9876947.04, 1058013.12,  849248.47, 1089525.77,  894763.42,  657300.99,  200878.68,  431453.34,  422668.07,  806145.51,  115982.03, 3215414.01,  115165.31,    1525.01,   16964.78,       0.00,       0.00
 2021318, 9953977.59, 1051702.66,  849979.21, 1089525.77,  894763.42,  684225.99,  210624.10,  428797.52,  454506.96,  805161.61,  122882.25, 3216715.68,  124623.58,    1525.01,   17045.30,       0.00,       0.00
 2021319,10130701.54, 1056473.73,  868016.64, 1089525.77,  894763.42,  708202.82,  283665.10,  400768.35,  508704.88,  825503.08,  154490.27, 3216676.25,  107603.07,    1525.01,   10976.13,       0.00,    1970.11
 2021320,10226327.59, 1061737.87,  898596.91, 1089525.77,  894763.42,  739539.12,  297029.88,  388814.30,  536702.29,  834235.63,  153026.95, 3205362.99,  109624.22,     492.87,   12960.48,       0.00,    2078.00
